# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
ip-10-145-11-135.us-west-1.compute.internal;60;1440073113;-1;0.96;0.00;0.95;1.83;0.03;96.22
ip-10-145-11-135.us-west-1.compute.internal;60;1440073113;0;0.15;0.00;0.23;0.20;0.02;99.40
ip-10-145-11-135.us-west-1.compute.internal;60;1440073113;1;0.07;0.00;0.05;0.10;0.00;99.78
ip-10-145-11-135.us-west-1.compute.internal;60;1440073113;2;0.13;0.00;0.10;0.00;0.00;99.77
ip-10-145-11-135.us-west-1.compute.internal;60;1440073113;3;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073113;4;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073113;5;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073113;6;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073113;7;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073113;8;1.05;0.00;0.63;0.02;0.00;98.30
ip-10-145-11-135.us-west-1.compute.internal;60;1440073113;9;0.05;0.00;0.05;0.00;0.00;99.90
ip-10-145-11-135.us-west-1.compute.internal;60;1440073113;10;0.18;0.00;0.13;0.00;0.02;99.67
ip-10-145-11-135.us-west-1.compute.internal;60;1440073113;11;0.00;0.00;0.03;0.00;0.02;99.95
ip-10-145-11-135.us-west-1.compute.internal;60;1440073113;12;0.02;0.00;0.03;0.00;0.02;99.93
ip-10-145-11-135.us-west-1.compute.internal;60;1440073113;13;3.45;0.00;12.84;7.94;0.02;75.76
ip-10-145-11-135.us-west-1.compute.internal;60;1440073113;14;9.72;0.00;7.81;1.42;0.00;81.05
ip-10-145-11-135.us-west-1.compute.internal;60;1440073113;15;3.14;0.00;2.34;0.50;0.00;94.02
ip-10-145-11-135.us-west-1.compute.internal;60;1440073113;16;0.00;0.00;0.02;0.10;0.00;99.88
ip-10-145-11-135.us-west-1.compute.internal;60;1440073113;17;0.07;0.00;0.10;0.00;0.00;99.83
ip-10-145-11-135.us-west-1.compute.internal;60;1440073113;18;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073113;19;0.02;0.00;0.05;0.00;0.00;99.93
ip-10-145-11-135.us-west-1.compute.internal;60;1440073113;20;0.02;0.00;0.02;0.00;0.00;99.97
ip-10-145-11-135.us-west-1.compute.internal;60;1440073113;21;0.02;0.00;0.00;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440073113;22;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073113;23;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073113;24;0.05;0.00;0.05;0.00;0.00;99.90
ip-10-145-11-135.us-west-1.compute.internal;60;1440073113;25;0.13;0.00;0.07;0.00;0.00;99.80
ip-10-145-11-135.us-west-1.compute.internal;60;1440073113;26;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073113;27;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073113;28;12.91;0.00;5.42;53.91;1.10;26.66
ip-10-145-11-135.us-west-1.compute.internal;60;1440073113;29;0.42;0.00;0.32;0.20;0.00;99.07
ip-10-145-11-135.us-west-1.compute.internal;60;1440073113;30;0.48;0.00;0.35;0.02;0.00;99.15
ip-10-145-11-135.us-west-1.compute.internal;60;1440073113;31;0.10;0.00;0.15;0.00;0.00;99.75
ip-10-145-11-135.us-west-1.compute.internal;60;1440073173;-1;0.92;0.00;0.84;2.10;0.04;96.10
ip-10-145-11-135.us-west-1.compute.internal;60;1440073173;0;1.13;0.00;0.57;0.00;0.00;98.30
ip-10-145-11-135.us-west-1.compute.internal;60;1440073173;1;0.00;0.00;0.02;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440073173;2;0.00;0.00;0.03;0.00;0.00;99.97
ip-10-145-11-135.us-west-1.compute.internal;60;1440073173;3;0.02;0.00;0.33;0.00;0.00;99.65
ip-10-145-11-135.us-west-1.compute.internal;60;1440073173;4;0.00;0.00;0.02;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440073173;5;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073173;6;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073173;7;0.42;0.00;0.22;0.00;0.00;99.37
ip-10-145-11-135.us-west-1.compute.internal;60;1440073173;8;2.00;0.00;0.90;0.13;0.00;96.96
ip-10-145-11-135.us-west-1.compute.internal;60;1440073173;9;0.20;0.00;0.12;0.02;0.00;99.67
ip-10-145-11-135.us-west-1.compute.internal;60;1440073173;10;0.05;0.00;0.03;0.00;0.00;99.92
ip-10-145-11-135.us-west-1.compute.internal;60;1440073173;11;0.12;0.00;0.05;0.00;0.00;99.83
ip-10-145-11-135.us-west-1.compute.internal;60;1440073173;12;6.71;0.00;0.32;0.00;0.00;92.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440073173;13;2.64;0.00;12.00;8.51;0.02;76.83
ip-10-145-11-135.us-west-1.compute.internal;60;1440073173;14;6.33;0.00;4.93;2.71;0.00;86.03
ip-10-145-11-135.us-west-1.compute.internal;60;1440073173;15;4.54;0.00;2.44;1.70;0.02;91.30
ip-10-145-11-135.us-west-1.compute.internal;60;1440073173;16;0.02;0.00;0.00;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440073173;17;0.00;0.00;0.02;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440073173;18;0.00;0.00;0.02;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440073173;19;0.00;0.00;0.02;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440073173;20;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073173;21;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073173;22;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073173;23;0.02;0.00;0.02;0.00;0.00;99.97
ip-10-145-11-135.us-west-1.compute.internal;60;1440073173;24;0.08;0.00;0.15;0.00;0.00;99.77
ip-10-145-11-135.us-west-1.compute.internal;60;1440073173;25;0.00;0.00;0.03;0.00;0.00;99.97
ip-10-145-11-135.us-west-1.compute.internal;60;1440073173;26;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073173;27;0.07;0.00;0.02;0.00;0.00;99.92
ip-10-145-11-135.us-west-1.compute.internal;60;1440073173;28;3.13;0.00;3.75;60.85;1.23;31.04
ip-10-145-11-135.us-west-1.compute.internal;60;1440073173;29;0.08;0.00;0.13;0.05;0.00;99.73
ip-10-145-11-135.us-west-1.compute.internal;60;1440073173;30;0.85;0.00;0.50;0.02;0.00;98.63
ip-10-145-11-135.us-west-1.compute.internal;60;1440073173;31;1.42;0.00;0.68;0.03;0.00;97.87
ip-10-145-11-135.us-west-1.compute.internal;60;1440073233;-1;1.33;0.00;1.02;0.76;0.00;96.89
ip-10-145-11-135.us-west-1.compute.internal;60;1440073233;0;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073233;1;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073233;2;0.02;0.00;0.02;0.00;0.00;99.97
ip-10-145-11-135.us-west-1.compute.internal;60;1440073233;3;0.02;0.00;0.27;0.00;0.00;99.72
ip-10-145-11-135.us-west-1.compute.internal;60;1440073233;4;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073233;5;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073233;6;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073233;7;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073233;8;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073233;9;0.15;0.00;0.08;0.00;0.00;99.77
ip-10-145-11-135.us-west-1.compute.internal;60;1440073233;10;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073233;11;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073233;12;31.73;0.00;25.42;0.00;0.00;42.85
ip-10-145-11-135.us-west-1.compute.internal;60;1440073233;13;0.00;0.00;0.05;0.07;0.00;99.88
ip-10-145-11-135.us-west-1.compute.internal;60;1440073233;14;0.00;0.00;0.02;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440073233;15;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073233;16;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073233;17;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073233;18;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073233;19;0.02;0.00;0.03;0.00;0.00;99.95
ip-10-145-11-135.us-west-1.compute.internal;60;1440073233;20;0.02;0.00;0.02;0.00;0.00;99.97
ip-10-145-11-135.us-west-1.compute.internal;60;1440073233;21;0.00;0.00;0.02;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440073233;22;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073233;23;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073233;24;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073233;25;0.00;0.00;0.02;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440073233;26;0.00;0.00;0.02;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440073233;27;0.00;0.00;0.02;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440073233;28;10.92;0.00;7.03;25.27;0.07;56.71
ip-10-145-11-135.us-west-1.compute.internal;60;1440073233;29;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073233;30;0.02;0.00;0.00;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440073233;31;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073293;-1;1.26;0.00;1.14;0.78;0.00;96.82
ip-10-145-11-135.us-west-1.compute.internal;60;1440073293;0;0.08;0.00;0.10;0.00;0.00;99.82
ip-10-145-11-135.us-west-1.compute.internal;60;1440073293;1;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073293;2;0.00;0.00;0.02;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440073293;3;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073293;4;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073293;5;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073293;6;0.00;0.00;0.02;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440073293;7;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073293;8;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073293;9;0.22;0.00;0.03;0.00;0.00;99.75
ip-10-145-11-135.us-west-1.compute.internal;60;1440073293;10;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073293;11;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073293;12;0.58;0.00;1.28;0.00;0.00;98.13
ip-10-145-11-135.us-west-1.compute.internal;60;1440073293;13;0.02;0.00;0.17;2.34;0.00;97.48
ip-10-145-11-135.us-west-1.compute.internal;60;1440073293;14;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073293;15;0.00;0.00;0.07;0.18;0.00;99.75
ip-10-145-11-135.us-west-1.compute.internal;60;1440073293;16;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073293;17;0.02;0.00;0.02;0.00;0.00;99.97
ip-10-145-11-135.us-west-1.compute.internal;60;1440073293;18;0.02;0.00;0.02;0.00;0.00;99.97
ip-10-145-11-135.us-west-1.compute.internal;60;1440073293;19;0.00;0.00;0.27;0.00;0.00;99.73
ip-10-145-11-135.us-west-1.compute.internal;60;1440073293;20;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073293;21;0.02;0.00;0.00;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440073293;22;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073293;23;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073293;24;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073293;25;0.02;0.00;0.02;0.00;0.00;99.97
ip-10-145-11-135.us-west-1.compute.internal;60;1440073293;26;0.02;0.00;0.00;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440073293;27;0.02;0.00;0.00;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440073293;28;40.57;0.00;35.76;23.09;0.10;0.48
ip-10-145-11-135.us-west-1.compute.internal;60;1440073293;29;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073293;30;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073293;31;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073353;-1;2.20;0.00;0.93;0.20;0.00;96.67
ip-10-145-11-135.us-west-1.compute.internal;60;1440073353;0;4.92;0.00;2.67;0.00;0.00;92.42
ip-10-145-11-135.us-west-1.compute.internal;60;1440073353;1;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073353;2;0.00;0.00;0.02;0.00;0.00;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440073353;3;0.23;0.00;0.37;0.00;0.00;99.40
ip-10-145-11-135.us-west-1.compute.internal;60;1440073353;4;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073353;5;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073353;6;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073353;7;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073353;8;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073353;9;0.27;0.00;0.02;0.00;0.00;99.72
ip-10-145-11-135.us-west-1.compute.internal;60;1440073353;10;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073353;11;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073353;12;1.62;0.00;0.72;0.05;0.00;97.62
ip-10-145-11-135.us-west-1.compute.internal;60;1440073353;13;0.07;0.00;0.18;1.62;0.00;98.13
ip-10-145-11-135.us-west-1.compute.internal;60;1440073353;14;0.00;0.00;0.00;0.00;0.02;99.98
ip-10-145-11-135.us-west-1.compute.internal;60;1440073353;15;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073353;16;0.02;0.00;0.02;0.00;0.00;99.97
ip-10-145-11-135.us-west-1.compute.internal;60;1440073353;17;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073353;18;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-145-11-135.us-west-1.compute.internal;60;1440073353;19;0.02;0.00;0.02;0.00;0.00;99.97
ip-10-145-11-135.us-west-1.compute.internal;60;1440073353;20;0.00;0.00;0.00;0.00;0.00;100.00
